volume,domain,files,words
volume-06-commerce-domain-architecture,01-PRODUCT-CATALOG,5,9981
volume-06-commerce-domain-architecture,02-MARKETPLACE,5,9956
volume-06-commerce-domain-architecture,03-PRICING,5,9956
volume-06-commerce-domain-architecture,04-RFQ-AND-PROCUREMENT,5,10006
volume-06-commerce-domain-architecture,05-QUOTATION,5,9956
volume-06-commerce-domain-architecture,06-CONTRACT,5,9956
volume-06-commerce-domain-architecture,07-PROFORMA-INVOICE,5,9981
volume-06-commerce-domain-architecture,08-PURCHASE-ORDER,5,9981
volume-06-commerce-domain-architecture,09-WALLET,5,9956
volume-06-commerce-domain-architecture,10-BILLING,5,9956
volume-06-commerce-domain-architecture,11-FINANCE-CONTROL,5,9981
volume-06-commerce-domain-architecture,12-RETURNS,5,9956
volume-06-commerce-domain-architecture,13-MANUFACTURING,5,9956
volume-06-commerce-domain-architecture,14-TAJERESTAN-TRADE-CORE,5,10006
volume-07-fulfilment-supply-chain-domain-architecture,01-SUPPLIER,5,9966
volume-07-fulfilment-supply-chain-domain-architecture,02-PROVIDER,5,9966
volume-07-fulfilment-supply-chain-domain-architecture,03-CUSTOMER,5,9966
volume-07-fulfilment-supply-chain-domain-architecture,04-CRM,5,9966
volume-07-fulfilment-supply-chain-domain-architecture,05-INVENTORY,5,9966
volume-07-fulfilment-supply-chain-domain-architecture,06-WAREHOUSE,5,9966
volume-07-fulfilment-supply-chain-domain-architecture,07-SHIPPING,5,9966
volume-07-fulfilment-supply-chain-domain-architecture,08-REGULATORY,5,9966
volume-07-fulfilment-supply-chain-domain-architecture,09-PRODUCTION-FULFILMENT,5,9991
volume-07-fulfilment-supply-chain-domain-architecture,10-ALLOCATION,5,9966
volume-07-fulfilment-supply-chain-domain-architecture,11-PICK-PACK-SHIP,5,10016
volume-07-fulfilment-supply-chain-domain-architecture,12-CUSTOMS-AND-BORDER-HANDLING,5,10041
volume-07-fulfilment-supply-chain-domain-architecture,13-EXCEPTIONS-AND-CLAIMS,5,10016
volume-08-engagement-communication-architecture,01-NOTIFICATION,4,7964
volume-08-engagement-communication-architecture,02-WHATSAPP,4,7964
volume-08-engagement-communication-architecture,03-WHATSAPP-CONNECTOR,4,7980
volume-08-engagement-communication-architecture,04-INSTAGRAM,4,7964
volume-08-engagement-communication-architecture,05-EMAIL,4,7964
volume-08-engagement-communication-architecture,06-WEBSOCKET-AND-REALTIME-MESSAGING,4,8012
volume-08-engagement-communication-architecture,07-CONVERSATION-OWNERSHIP,4,7980
volume-08-engagement-communication-architecture,08-CONSENT-AND-CHANNEL-CAPABILITY,4,8012
volume-08-engagement-communication-architecture,09-TEMPLATE-AND-LOCALIZATION,4,7996
volume-08-engagement-communication-architecture,10-HUMAN-HANDOFF-AND-AI-ASSISTED-RESPONSE,4,8028
