path,section,title,words,bytes,sha256
00-START-HERE/COMPLETION-DEFINITION.md,00-START-HERE,GTOS Completion Definition,238,1879,46f079b33f1974f1fac8039d84fa0e8d701bdd2e1a189a86d76e95c119df4531
00-START-HERE/PUBLICATION-STATEMENT.md,00-START-HERE,Publication Statement,198,1540,c5ab8964d363488ee6c1af4bea31dd49a3dba344d1053d4151f5c932318ee567
00-START-HERE/READING-GUIDE.md,00-START-HERE,Reading Guide,178,1486,2b84307394c6ab84d17cf0bfafe0f715114d3d8b99e07f6c3b58c159abb55455
00-START-HERE/README.md,00-START-HERE,GTOS Enterprise Engineering Handbook,190,1489,55294246cebcb6aae162479fc36bbf3d4d8d0f01a0b778cec7eef45126f79ad0
00-START-HERE/RELEASE-NOTES.md,00-START-HERE,Release Notes - Final Edition 1.0,111,934,1f31403dc8b8915e4ce51c68de9ac7dedfa02aa1411cd8c391a995142f665066
00-START-HERE/VERSION.md,00-START-HERE,Version,43,405,fe37e777bdced848ccea3d064784397ef892c7bb135acad305c5a3f12c8064de
01-NORMATIVE-CORE/00-SYSTEM-BLUEPRINT.md,01-NORMATIVE-CORE,GTOS System Blueprint,325,2886,9ba7158f46949e3051bfd049a9a520edfa7c4a89a68a452bb721333e2b1bf1a7
01-NORMATIVE-CORE/01-ARCHITECTURAL-PRINCIPLES.md,01-NORMATIVE-CORE,Architectural Principles,269,2090,fc63c02a45fc610be0755209bd09e56d2bac47763bf7cf77e3653b54e60ddb55
01-NORMATIVE-CORE/02-TARGET-OPERATING-MODEL.md,01-NORMATIVE-CORE,Target Operating Model,206,1797,fa1a4c90e0bb505ced24345adaf10dd7659090dc0f6e23cc99fe54963b0cafd0
01-NORMATIVE-CORE/03-DOMAIN-MAP-AND-OWNERSHIP.md,01-NORMATIVE-CORE,Domain Map and Ownership,248,2188,df952d5088dbb2cd2f4605bde667f3008856937c0a61f02ca3d1fa964041e656
01-NORMATIVE-CORE/04-END-TO-END-GLOBAL-TRADE-LIFECYCLE.md,01-NORMATIVE-CORE,End-to-End Global Trade Lifecycle,251,1951,175de2600579f1df973ae4e742d13763f33e1cf5f8af3d2146af4a686b80888a
01-NORMATIVE-CORE/05-SERVICE-ARCHITECTURE.md,01-NORMATIVE-CORE,Service Architecture,209,1641,16a3bc2cc8c8d5f3262469ee07b337410be8c9438e8c104de932df7fde59b6ff
01-NORMATIVE-CORE/06-DATA-ARCHITECTURE.md,01-NORMATIVE-CORE,Data Architecture,195,1626,c1e936abf9a7bd8f88e9f7b4dc89299af24769673a515d8e55ee0fe9437c1e9f
01-NORMATIVE-CORE/07-API-EVENT-AND-TOOL-ARCHITECTURE.md,01-NORMATIVE-CORE,"API, Event, and Tool Architecture",168,1388,a5f18754f07708d839c0b7f45985e6a83d6d4dc2aaa7016c6ac45b183b4a15b2
01-NORMATIVE-CORE/08-WORKFLOW-SAGA-AND-RECOVERY-ARCHITECTURE.md,01-NORMATIVE-CORE,"Workflow, Saga, and Recovery Architecture",166,1318,ac09d0f47831fd1219245db0fc7c058e9becb31db8efa943503bf39e68039abc
01-NORMATIVE-CORE/09-AI-NATIVE-ARCHITECTURE.md,01-NORMATIVE-CORE,AI-Native Architecture,195,1638,0d86d2b4ca510cd0d8b6f9cf93ed30e8df70329007bd42cf555d8131184a9ef4
01-NORMATIVE-CORE/10-SECURITY-PRIVACY-AND-COMPLIANCE.md,01-NORMATIVE-CORE,"Security, Privacy, and Compliance",211,1783,64e62f3c1cc89de628a72a66c816b7f4ab1b1287869b8d55c07f2a7d3a0e194f
01-NORMATIVE-CORE/11-RELIABILITY-SRE-AND-OPERATIONS.md,01-NORMATIVE-CORE,"Reliability, SRE, and Operations",164,1462,8b502ffddb45a3c8f6c3ec55cfc2c4bdd8bce6969ed69b43320c912b093d8f3d
01-NORMATIVE-CORE/12-ENGINEERING-STANDARDS.md,01-NORMATIVE-CORE,Engineering Standards,147,1226,d3052eb99ce8ab75c06d7f327fb9e999bedf0cd7f11d121411289e74af102158
01-NORMATIVE-CORE/13-TESTING-AND-CONFORMANCE.md,01-NORMATIVE-CORE,Testing and Conformance,137,1186,b9ad2320f008a9f06ceefccbd997da3cbfc7d467b9b723d1de517c81317ae6d1
01-NORMATIVE-CORE/14-IMPLEMENTATION-ROADMAP.md,01-NORMATIVE-CORE,Implementation Roadmap,202,1705,d3260d3855e34f2692a4d56a307a3b05bf07b9128ee879391aa320ec3d86143e
01-NORMATIVE-CORE/15-DOMAIN-IMPLEMENTATION-TEMPLATE.md,01-NORMATIVE-CORE,Domain Implementation Template,154,1224,ad361f4ccc347d8dc22611407bcfc88a195a9f17dcef17e73e5becdbe825e67b
01-NORMATIVE-CORE/16-PRODUCTION-READINESS-STANDARD.md,01-NORMATIVE-CORE,Production Readiness Standard,131,1007,f71cc3810f10200cef8f28727fd2802c01fc8409d5b72ad3d6c048c0adabd34e
02-FOUNDATIONS/00-REFERENCE-THEORY/causality-and-correction.md,02-FOUNDATIONS,"Causality, Contradiction, and Correction",119,1019,20a2e3a35a26cc48ad85d91a6434d918b19b8c2f75d3ca4ce678f54e3d705d33
02-FOUNDATIONS/00-REFERENCE-THEORY/deontic-model.md,02-FOUNDATIONS,Deontic and Authority Model,145,1082,c0c618af865c20692a0b8dacfa9dba52c6fec39f3dd1e2abb7d9002212310958
02-FOUNDATIONS/00-REFERENCE-THEORY/epistemology.md,02-FOUNDATIONS,Epistemology of Trade,191,1412,8c3b851b7f0d2aebaa2072231207989aaeb530086e2a330f0549e76b5c7f146f
02-FOUNDATIONS/00-REFERENCE-THEORY/index.md,02-FOUNDATIONS,GTOS Reference Theory,92,768,807c7d0f08523313283fc097d837d46fd4514bbcf4ef094181665bbddf68e9e4
02-FOUNDATIONS/00-REFERENCE-THEORY/meta-model.md,02-FOUNDATIONS,GTOS Meta-Model,200,1852,22813aff61f26479ab2c75efce10a4d0bb525970d3959373f36ddbccbe3dbbeb
02-FOUNDATIONS/00-REFERENCE-THEORY/ontology.md,02-FOUNDATIONS,Ontology of Trade,223,1721,0b2b4220d2a0e4915d2595243c6a43ad34d29c7abf08b23f316100c1e2ad78a9
02-FOUNDATIONS/00-REFERENCE-THEORY/uncertainty.md,02-FOUNDATIONS,Uncertainty Model,89,728,5c786c37feb0706952588a18be9b9c6eea540e71a6553733d5ab7d9bb797b8b1
02-FOUNDATIONS/01-CANON/epistemology/canon-009.md,02-FOUNDATIONS,CANON-009 — Knowledge Is Not Reality,862,7253,da32c5b7caf4a4d07e950bfbd64c8816ddfae01b9e0efcf3c8bca9e3b9f4b127
02-FOUNDATIONS/01-CANON/epistemology/canon-010.md,02-FOUNDATIONS,CANON-010 — Decisions Transform Knowledge into Commitment,839,7122,b44d7eac596e505ccc1d1696a1439395e7bcc0d7c1fb95a516401fd0391233b6
02-FOUNDATIONS/01-CANON/epistemology/canon-011.md,02-FOUNDATIONS,CANON-011 — Intent Precedes Execution,847,7166,a66f984b7b9870ddafad16b16dd2c9c37a4ae9b66a1e9e8d67eb4869983d3d88
02-FOUNDATIONS/01-CANON/foundation/canon-001.md,02-FOUNDATIONS,CANON-001 — Reality Precedes Representation,886,7371,66c6c65c7eacc3ece7204f17c263f68b94fd4714d96e7fdc5a0c78f50b4da219
