path,bytes,words,lines,sha256
00-CONVERSATION-INTENT-REVIEW.md,1912,258,31,767176f67ca47f87dd7f43326d95942ce20767b331b2cca9308091259311ebdf
01-FINAL-ARTIFACT-INVENTORY-AND-INTEGRITY.md,1348,180,37,d4718ac74c7a681e66fce089ddfb4899f98480ecfcead6727bd93c412407ac33
02-CONTENT-QUALITY-AUDIT.md,1360,180,32,b331705d7729148dec5a6504848289b29213e7460ac421c088964d5ebfbf32b1
03-CLAIM-AND-EVIDENCE-AUDIT.md,1296,155,39,a9c19299ffd1cca0123b54bb45d15f596213b03687cbab5449f0cff29bf312c6
04-STRUCTURE-NUMBERING-AND-CANONICALIZATION.md,1090,130,17,35c21a89570c654973d4c2d82929f0b1764af9bd8441070d548d780e88277715
05-PDF-XLSX-ZIP-AUDIT.md,1206,178,18,5e620feaeb4b7433daa116784d70818b7afacf53c89ec10e6f787e2c140931ea
06-CRITICAL-FINDINGS-AND-ISSUE-REGISTER.md,1592,201,19,19423f5cafaf83d085ebd3a7dfb35b260b38650f0635344f851ef4a04e0f4142
07-REMEDIATION-DECISIONS.md,1021,133,23,fbac01b831b88f91077238c267c3da9f007bf81eb6e2c635f16a1661b8c6984f
08-EVIDENCE-WAVE-01-PROFORMA-INVOICE.md,2805,311,59,62794c79457d7c50651320f2a87f4fcf1638970a343f8c772ab22ef42c8e38b9
09-EVIDENCE-WAVE-01-PAYMENT.md,2867,322,41,0132b49546a704b9a04a773a74ef5f7661e58b2c4cbba5f72fed4be48cb58ebb
10-EVIDENCE-WAVE-01-PURCHASE-ORDER.md,3187,351,55,a8cfcfaa29be6a57c62a818792b38586e863af71e5e3b15096bb438506cca6bd
11-EVIDENCE-WAVE-01-MANUFACTURING.md,2790,302,49,2572ec76954da1073f296d172d8547a5397e839cb6a5e29c34a284c8d5103dde
12-WAVE-01-TRACEABILITY-MATRIX.md,1577,147,20,93912034e74ddbed199bbff70d4b6c326eeb3b48653b3c84573b3fbcfcfd1d23
13-NEXT-WAVE-PLAN.md,680,83,22,58383ff4d975e23b7d050b530767af8081703fb30d29b554ab3bbfb18575b470
GTOS-AUDITED-V2-SUMMARY.json,2503,134,63,34c3836d5e3b6230c226e59a358736a0f6727d3a8c3c66ebf6a271d21b3a2c80
GTOS-HANDBOOK-COMPREHENSIVE-AUDIT.json,42885,3210,1174,1b3d2ed6cd8af9ff2af59ec22db7431eabc6a49919b2219d2a47e32c7be11a20
GTOS-Handbook-Master-Batches-01-to-06-AUDITED-v2.zip,4014297,0,0,f466ffb9bca33e7abc98a5aaa555aa040cd95cbd9f943e3382ccd114556c3482
GTOS-PRIOR-COMPILATION-AUDIT.json,5621,551,163,c378af95bfc819a555e57383ad0492f654393f123ef3e46331bf1d0e44f24551
INTEGRITY-REPORT.md,184,25,9,b4f35a0cc7ba04226743c2a7daf964eea2c77801d12595a2996ae0c515b9aa17
README.md,654,86,12,d50004e2d3f7bea079db819b81b36a3fcfa0150ea174f94eca65458803a57024
