path,bytes,words,lines,sha256
00-SCOPE-METHOD-AND-SNAPSHOT.md,1953,209,34,d6538eeda2443edff9c81406bfcec18be12c80f0a11d10edde3ea0bfee347575
01-QUALITY-INSPECTION-QC-HOLD-AND-RELEASE.md,4401,469,86,46530e904b2ab8b3f56f227488a58c51af87ea73b1eedab34e7395e5ec92ab20
02-PACKING-LIST-AND-COMMERCIAL-INVOICE.md,3197,363,90,f5d058f8211a563bf3ac937d2ed55860da2d2bc62d64ffdf5c66a1c2e8bf9512
03-EXPORT-CUSTOMS-AND-LEGAL-RELEASE.md,2470,274,62,bf35a883f5f97e5a1c9cac38d7ad709a527c5e4a340ad41389ee083af5c143b2
04-IMPORT-CUSTOMS-DUTIES-AND-RELEASE.md,2446,263,59,90c9a68fe6c8b21dfe7aef6df9a6c5443a39dafd826c0c5060d2010ac03e9cf7
05-TRANSPORT-BOOKING-HANDOVER-SHIPMENT-AND-TRACKING.md,3215,366,76,19a4062027819006399c81fd8c16eb83828940868f0b8ec6017dc96e9849df66
06-WAREHOUSE-RECEIVING-AND-RECEIPT.md,2439,275,67,f89e6bf4002bfd98d2a0b1a17e014ab185499af0c5e1182b7ce496baf96406ac
07-INVENTORY-SYNCHRONIZATION-RESERVATION-AND-QC.md,2812,318,76,8f26e3b079c25bdb80f675b886a9391a70f98045c82adbbc9a0d7d6185279b97
08-CROSS-DOMAIN-CONTRADICTIONS.md,1821,210,17,7ea853a9afc8ca00fe368f91b81d6630e9a2c6ca9499922888df3406e9c8fbb2
09-IMPLEMENTATION-STATUS-MATRIX.md,1715,172,20,fadddeb3109ad820f2814d21dea06fa099f38dc30a82937bb784a900630dd2da
10-WAVE-02-ISSUE-REGISTER.md,4089,492,39,15b710f2dbd7a9f819ee55467e87d1640ff30995af7cc021e6ca247be6a0925f
11-WAVE-02-TRACEABILITY-MATRIX.md,4960,370,28,48550b272041310a6d870f2c44619d74b5f7452ca235dfefa1053b9de50e26f8
12-REMEDIATION-AND-VERIFICATION-PLAN.md,1928,226,40,96ed301dedfc33eafed6b4a06fb4422f978e564df9be6219b10fbb4763fca5cc
13-NEXT-WAVE-PLAN.md,610,84,17,34fefc8ac453c2f338f1d3369bd2817dfc3c9a3711658a6110286e3320bdf364
GTOS-BATCH-08-COMBINED.md,42264,4461,856,154d9e3ff325e0fa71bbdddcdd25e8f964bc5e054bf44e229e1b81d9d5192cfa
IMPLEMENTATION-STATUS-VOCABULARY.md,1181,105,16,7d67b3780a71749088f52231d32877297fc230c5d7d60847cd47174d7c1be56a
INTEGRITY-REPORT.md,768,79,34,1556c288754f939e6583aa176fe614b8d7e3a96be568690e7936cab8ec90a687
ISSUE-REGISTER.csv,3649,486,36,3356d29c4072c9938a0571a686f897e4da34617ec462798249cb8079bd406fcf
README.md,1025,105,23,83a964c4fb9a2c26ae8584af9bd1f13c87b356b8756cd1d82f4c0a9c434d4e8a
RELEASE-REPORT.md,913,100,19,2b5b62452d6ee6818b446f452e518d0a249a743b16be7ae9c7a58c74be83d0a0
SOURCE-REGISTRY.csv,6008,433,25,d6023e77ba4f21d4d64e6f08f50196f972e7f5673d70ffd774a606d8963f3276
STATUS-MATRIX.csv,868,91,14,9aef0089ecd27ba6b5f3c4196e2d043b4c46da8e563b7ec430c5d1b76186a173
