evidence_id,repository,snapshot,path,blob_sha,classification
QUALITY-UI-MOCK,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,apps/quality-dashboard/app/inspections/page.tsx,ca8b5c61b956a6d96ea8010180d6fc4c3f3ee093,FRONTEND_MOCK
QUALITY-SOFTWARE-GATES,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/engagement/dashboard-service/src/main/java/com/allinb2c/engagement/dashboard/quality/controller/QualityController.java,6410c6402611f0d78e82cff2e2480b644de751a2,VERIFIED_IMPLEMENTED
QUALITY-QC-WORKBENCH,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,apps/warehouse-operator/components/qc-hold/qc-hold-workbench.tsx,fc4a0f3087df0a08f97b4ceece24d739d9955ff5,CLIENT_CONTRACT_UNVERIFIED
PACKING-ENTITY,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/commerce/tajerestan-services/src/main/java/com/allinb2c/commerce/tajerestan/entity/PackingListEntity.java,5317c771765edadf8483d0a8827d2ddd56cb14f2,VERIFIED_IMPLEMENTED
PACKING-SERVICE,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/commerce/tajerestan-services/src/main/java/com/allinb2c/commerce/tajerestan/service/PackingListService.java,7502b07ed6b29882c904ac69862e667c7443f6a7,IMPLEMENTED_WITH_GAP
COMMERCIAL-INVOICE-DDL,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/commerce/provider-service/src/main/resources/db/migration/V7__phase_3c_commercial_invoices.sql,9c8133be1f5805cb64af021770819e173bd9af25,VERIFIED_IMPLEMENTED
PARTNER-LOGISTICS,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/commerce/provider-service/src/main/java/com/allinb2c/commerce/provider/api/PartnerLogisticsController.java,8e49184334fb4b87228876c38eb40e59d15a08fb,IMPLEMENTED_WITH_GAP
EXPORT-DDL,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/commerce/provider-service/src/main/resources/db/migration/V10__phase_4b_export_declarations.sql,5f110ad3c3ad3d5cfb609c4aecae3f26d2ad8743,VERIFIED_IMPLEMENTED
TAJERESTAN-CUSTOMS,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/commerce/tajerestan-services/src/main/java/com/allinb2c/commerce/tajerestan/service/CustomsService.java,7fcb117de233e9900881479d42a96d35c7b74d22,IMPLEMENTED_WITH_GAP
IMPORT-CONTROLLER,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/commerce/provider-service/src/main/java/com/allinb2c/commerce/provider/api/PartnerImportController.java,40a0fb1f289fea319a7822945932bcb242e40852,IMPLEMENTED_WITH_GAP
IMPORT-WMS-DDL,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/commerce/provider-service/src/main/resources/db/migration/V16__phase_6a_import_wms.sql,c32d37a25ad374acf6dc9bc356e1d1349b551780,IMPLEMENTED_WITH_GAP
